[INFO]	2022-02-03 11:34:21.616	Start service
[INFO]	2022-02-03 11:35:05.868	App	Start service
[DEBUG]	2022-02-03 11:35:07.291	ControlServer	Client wmijtqtwcp ask server status...
[DEBUG]	2022-02-03 11:35:09.242	ControlServer	Client wmijtqtwcp ask server status...
[INFO]	2022-02-03 11:35:11.278	ControlClient	Add new client. ClientKey:edwolqtsym
[DEBUG]	2022-02-03 11:35:12.625	ControlServer	Client edwolqtsym ask server status...
[DEBUG]	2022-02-03 11:35:12.637	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":0}
[DEBUG]	2022-02-03 11:35:13.262	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:13.280	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":1}
[DEBUG]	2022-02-03 11:35:13.510	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:13.524	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":2}
[DEBUG]	2022-02-03 11:35:13.706	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:13.727	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":3}
[DEBUG]	2022-02-03 11:35:13.873	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:13.890	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":4}
[DEBUG]	2022-02-03 11:35:14.024	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:14.040	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":5}
[DEBUG]	2022-02-03 11:35:14.159	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:14.181	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":6}
[DEBUG]	2022-02-03 11:35:14.293	ControlCalculate	Client:edwolqtsym post resultat
